State,Action,NextState,Reward
30,Commodities,34.0,3.5263605246161616
8,Stocks,6.0,1.791759469228055
2,Cryptocurrencies,-7.0,-7.0
23,Forex,26.0,3.258096538021482
82,Cryptocurrencies,77.0,4.343805421853684
39,Forex,38.0,3.6375861597263857
51,Stocks,55.0,4.007333185232471
68,Cryptocurrencies,75.0,4.31748811353631
56,Stocks,52.0,3.9512437185814275
77,Stocks,73.0,4.290459441148391
31,Commodities,32.0,3.4657359027997265
50,Real_Estates,65.0,4.174387269895637
51,Real_Estates,52.0,3.9512437185814275
35,Cryptocurrencies,35.0,3.5553480614894135
96,Commodities,100.0,4.605170185988092
73,Forex,72.0,4.276666119016055
11,Stocks,9.0,2.1972245773362196
53,Cryptocurrencies,58.0,4.060443010546419
47,Real_Estates,55.0,4.007333185232471
37,Cryptocurrencies,32.0,3.4657359027997265
89,Commodities,91.0,4.51085950651685
1,Commodities,7.0,7.0
52,Forex,45.0,3.8066624897703196
69,Forex,65.0,4.174387269895637
67,Stocks,70.0,4.248495242049359
92,Real_Estates,83.0,4.418840607796598
53,Real_Estates,37.0,3.6109179126442243
56,Real_Estates,68.0,4.219507705176107
80,Forex,75.0,4.31748811353631
98,Stocks,93.0,4.532599493153256
15,Real_Estates,26.0,26.0
96,Real_Estates,110.0,4.700480365792417
52,Cryptocurrencies,51.0,3.9318256327243257
77,Stocks,74.0,4.30406509320417
32,Cryptocurrencies,35.0,3.5553480614894135
53,Cryptocurrencies,59.0,4.07753744390572
34,Commodities,39.0,3.6635616461296463
71,Stocks,69.0,4.23410650459726
29,Cryptocurrencies,21.0,3.044522437723423
83,Real_Estates,72.0,4.276666119016055
58,Real_Estates,60.0,4.0943445622221
20,Real_Estates,33.0,3.4965075614664802
85,Forex,81.0,4.394449154672439
63,Cryptocurrencies,66.0,4.189654742026425
73,Forex,75.0,4.31748811353631
38,Real_Estates,35.0,3.5553480614894135
64,Real_Estates,58.0,4.060443010546419
53,Commodities,51.0,3.9318256327243257
26,Stocks,30.0,3.4011973816621555
77,Real_Estates,70.0,4.248495242049359
9,Real_Estates,-8.0,-8.0
37,Forex,38.0,3.6375861597263857
98,Cryptocurrencies,99.0,4.59511985013459
2,Real_Estates,-14.0,-14.0
49,Real_Estates,56.0,4.02535169073515
10,Stocks,12.0,2.4849066497880004
61,Commodities,57.0,4.04305126783455
57,Cryptocurrencies,55.0,4.007333185232471
36,Real_Estates,50.0,3.912023005428146
11,Stocks,11.0,2.3978952727983707
40,Real_Estates,41.0,3.713572066704308
99,Forex,99.0,4.59511985013459
51,Commodities,60.0,4.0943445622221
44,Stocks,45.0,3.8066624897703196
52,Forex,51.0,3.9318256327243257
68,Commodities,76.0,4.330733340286331
45,Commodities,49.0,3.8918202981106265
45,Commodities,35.0,3.5553480614894135
91,Stocks,86.0,4.454347296253507
69,Stocks,67.0,4.204692619390966
